Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2001 12:00:00 AM,Western,F,30 to 39,13901,235,1.69
01/01/2001 12:00:00 AM,Western,F,40 to 49,16752,633,3.78
01/01/2001 12:00:00 AM,Western,F,50 to 59,14302,1149,8.03
01/01/2001 12:00:00 AM,Western,F,60 to 69,9580,1363,14.23
01/01/2001 12:00:00 AM,Western,F,70 to 79,7548,1434,19
01/01/2001 12:00:00 AM,Western,F,80 +,6201,1117,18.01
01/01/2001 12:00:00 AM,Western,M,20 to 29,10038,59,0.59
01/01/2001 12:00:00 AM,Western,M,30 to 39,13346,212,1.59
01/01/2001 12:00:00 AM,Western,M,40 to 49,16202,622,3.84
01/01/2001 12:00:00 AM,Western,M,50 to 59,14237,1417,9.95
01/01/2001 12:00:00 AM,Western,M,60 to 69,9581,1602,16.72
01/01/2001 12:00:00 AM,Western,M,70 to 79,6431,1405,21.85
01/01/2001 12:00:00 AM,Western,M,80 +,3524,732,20.77
01/01/2002 12:00:00 AM,Central,F,20 to 29,23760,191,0.8
01/01/2002 12:00:00 AM,Central,F,30 to 39,28856,453,1.57
01/01/2002 12:00:00 AM,Central,F,40 to 49,31289,1026,3.28
01/01/2002 12:00:00 AM,Central,F,50 to 59,23449,1777,7.58
01/01/2002 12:00:00 AM,Central,F,60 to 69,14443,1956,13.54
01/01/2002 12:00:00 AM,Central,F,70 to 79,11242,1987,17.67
01/01/2002 12:00:00 AM,Central,F,80 +,8555,1365,15.96
01/01/2002 12:00:00 AM,Central,M,20 to 29,22578,161,0.71
01/01/2002 12:00:00 AM,Central,M,30 to 39,26319,436,1.66
01/01/2002 12:00:00 AM,Central,M,40 to 49,29334,1130,3.85
01/01/2002 12:00:00 AM,Central,M,50 to 59,22282,2273,10.2
01/01/2002 12:00:00 AM,Central,M,60 to 69,13524,2570,19
01/01/2002 12:00:00 AM,Central,M,70 to 79,8663,2006,23.16
01/01/2002 12:00:00 AM,Central,M,80 +,4268,880,20.62
01/01/2002 12:00:00 AM,Eastern,F,20 to 29,8278,112,1.35
01/01/2002 12:00:00 AM,Eastern,F,30 to 39,10419,269,2.58
01/01/2002 12:00:00 AM,Eastern,F,40 to 49,13969,622,4.45
01/01/2002 12:00:00 AM,Eastern,F,50 to 59,12189,1065,8.74
